COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2015-2016_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,PROFESSIONAL_LEARNING_COMMUNITY_AID,HOST_DISTRICT_SUPPORT_AID,K-12_2016-2017_TOTAL_AID,ONE _YEAR_AID_CHANGE,%_AID_CHANGE
BERGEN,EAST RUTHERFORD BORO,1230,"599,389",0,0,0,"42,331","420,248","124,143",0,0,"7,650","7,650",0,0,"8,230",946,"611,198","11,809",2.00%
BERGEN,EDGEWATER BORO,1270,"944,565",0,0,0,"136,664","476,311","45,596","21,476","255,143","13,300","13,300",0,0,"13,570",0,"975,360","30,795",3.30%
BERGEN,ELMWOOD PARK,1345,"3,060,505","665,999",0,0,"135,016","1,551,273","195,455","500,000",0,"26,780","26,780",0,0,"26,390",0,"3,127,693","67,188",2.20%
BERGEN,EMERSON BORO,1360,"494,022",0,0,0,"34,285","417,064","21,975",0,0,"11,620","11,620",0,0,"11,410",0,"507,974","13,952",2.80%
BERGEN,ENGLEWOOD CITY,1370,"9,497,356",0,0,"4,324,509","687,644","1,813,061","977,741",0,0,"30,440","30,440","1,257,860","497,070","31,070",0,"9,649,835","152,479",1.60%
BERGEN,ENGLEWOOD CLIFFS BORO,1380,"293,971",0,0,0,"42,818","232,059","8,968",0,0,"5,780","5,780",0,0,"5,840",0,"301,245","7,274",2.50%
BERGEN,FAIR LAWN BORO,1450,"3,360,837","142,186",0,0,"224,872","2,818,180","99,509",0,0,"45,520","45,520",0,0,"47,170",421,"3,423,378","62,541",1.90%
BERGEN,FAIRVIEW BORO,1470,"7,393,649","5,866,847",0,0,"35,012","965,114","131,131","428,905",0,"17,310","17,310",0,0,"17,040",0,"7,478,669","85,020",1.10%
BERGEN,FORT LEE BORO,1550,"2,046,454",0,0,0,"91,990","1,788,720","105,243",0,0,"38,770","38,770",0,0,"37,790",0,"2,101,283","54,829",2.70%
BERGEN,FRANKLIN LAKES BORO,1580,"736,334",0,0,0,"61,872","635,634","20,872",0,0,"12,010","12,010",0,"14,036","10,830",0,"767,264","30,930",4.20%
BERGEN,GARFIELD CITY,1700,"55,908,626","50,909,591",0,0,"709,240","2,896,716","1,552,503",0,0,"49,130","49,130",0,0,"49,380","33,144","56,248,834","340,208",0.60%
BERGEN,GLEN ROCK BORO,1760,"1,081,249",0,0,0,"27,336","972,893","40,164",0,0,"23,130","23,130",0,0,"24,610",0,"1,111,263","30,014",2.80%
BERGEN,HACKENSACK CITY,1860,"12,816,160","9,386,004",0,0,"120,857","2,875,902","424,121",0,0,"51,290","51,290",0,0,"54,210",0,"12,963,674","147,514",1.20%
BERGEN,HARRINGTON PARK BORO,2050,"288,619","2,317",0,0,"5,070","258,871","10,942",0,0,"6,440","6,440",0,1,"6,450",0,"296,531","7,912",2.70%
BERGEN,HASBROUCK HEIGHTS BORO,2080,"1,143,379","15,477",0,0,"40,399","997,457","46,450","14,450",0,"19,510","19,510",0,1,"19,150",0,"1,172,404","29,025",2.50%
BERGEN,HAWORTH BORO,2090,"210,167",0,0,0,"6,952","186,528","7,165",0,0,"4,310","4,310",0,"2,010","4,160",0,"215,435","5,268",2.50%
BERGEN,HILLSDALE BORO,2180,"828,139","11,741",0,0,"34,121","714,708","23,068",0,0,"12,690","12,690",0,"23,739","11,540",0,"844,297","16,158",2.00%
BERGEN,HO HO KUS BORO,2200,"465,891",0,0,0,"54,483","367,673","14,624",0,0,"8,800","8,800",0,"14,257","8,650",0,"477,287","11,396",2.40%
BERGEN,LEONIA BORO,2620,"3,565,723","2,614,849",0,0,"11,212","896,489","27,544",0,0,"14,050","14,050",0,0,"14,010",0,"3,592,204","26,481",0.70%
BERGEN,LITTLE FERRY BORO,2710,"1,464,821","520,499",0,0,"81,936","795,218","51,579",0,0,"13,390","13,390",0,0,"13,430","1,345","1,490,787","25,966",1.80%
BERGEN,LODI BOROUGH,2740,"14,369,247","11,794,666",0,0,"154,483","2,123,388","255,334","76,849",0,"35,130","35,130",0,0,"33,730",0,"14,508,710","139,463",1.00%
BERGEN,LYNDHURST TWP,2860,"2,013,220","404,524",0,0,"61,668","1,439,268","75,106",0,0,"24,220","24,220",0,1,"24,590",0,"2,053,597","40,377",2.00%
BERGEN,MAHWAH TWP,2900,"2,306,791",0,0,0,"288,066","1,908,970","59,339",0,0,"30,305","30,305",0,1,"29,250",0,"2,346,236","39,445",1.70%
BERGEN,MAYWOOD BORO,3060,"1,169,240","324,912",0,0,"55,403","749,390","23,035",0,0,"12,790","12,790",0,0,"12,340",0,"1,190,660","21,420",1.80%
BERGEN,MIDLAND PARK BORO,3170,"610,186","33,981",0,0,"22,354","531,756","18,299",0,0,"9,520","9,520",0,0,"10,080",0,"635,510","25,324",4.20%
BERGEN,MONTVALE BORO,3330,"501,519",0,0,0,"48,856","415,963","18,499",0,0,"10,340","10,340",0,0,"9,780",0,"513,778","12,259",2.40%
BERGEN,MOONACHIE BORO,3350,"393,175",0,0,0,"86,776","216,959","73,184",0,0,"3,560","3,560","16,590",0,"4,030",0,"404,659","11,484",2.90%
BERGEN,NEW MILFORD BORO,3550,"1,769,045","312,017",0,0,"82,397","1,294,330","47,564",0,0,"20,170","20,170",0,0,"19,720",0,"1,796,368","27,323",1.50%
BERGEN,NORTH ARLINGTON BORO,3600,"1,781,919","674,022",0,0,"34,472","1,003,779","48,132",0,0,"17,610","17,610",0,0,"18,290",517,"1,814,432","32,513",1.80%
BERGEN,NORTHERN HIGHLANDS REG,3700,"583,316",0,0,0,"100,760","386,701","77,671",0,0,"10,480","10,480",0,0,"10,180",0,"596,272","12,956",2.20%
BERGEN,NORTHERN VALLEY REGIONAL,3710,"1,213,728",0,0,0,"93,037","1,037,462","42,643",0,0,"23,230","23,230",0,0,"22,480",0,"1,242,082","28,354",2.30%
BERGEN,NORTHVALE BORO,3730,"227,727",0,0,0,"8,483","202,156","8,370",0,0,"4,930","4,930",0,1,"5,000",0,"233,870","6,143",2.70%
BERGEN,NORWOOD BORO,3740,"400,235",0,0,0,"16,203","360,001","10,070",0,0,"6,000","6,000",0,"3,920","6,020",0,"408,214","7,979",2.00%
BERGEN,OAKLAND BORO,3760,"666,208",0,0,0,"60,106","548,560","28,723",0,0,"16,140","16,140",0,0,"14,580",0,"684,249","18,041",2.70%
BERGEN,OLD TAPPAN BORO,3850,"371,213",0,0,0,"19,500","325,509","12,912",0,0,"7,560","7,560",0,0,"7,060",0,"380,101","8,888",2.40%
BERGEN,ORADELL BORO,3870,"344,492",0,0,0,"6,900","310,279","13,503",0,0,"7,780","7,780",0,0,"7,490",0,"353,732","9,240",2.70%
BERGEN,PALISADES PARK,3910,"1,900,447","711,969",0,0,"15,944","958,764","75,469","103,841",0,"16,770","16,770","10,133","9,220","16,890",0,"1,935,770","35,323",1.90%
BERGEN,PARAMUS BORO,3930,"2,000,986",0,0,0,"219,658","1,645,291","69,352",0,0,"38,180","38,180",0,0,"37,800",0,"2,048,461","47,475",2.40%
BERGEN,PARK RIDGE BORO,3940,"577,598",0,0,0,"21,781","510,046","22,761",0,0,"12,970","12,970",0,0,"12,060",0,"592,588","14,990",2.60%
BERGEN,PASCACK VALLEY REGIONAL,3960,"1,110,542",0,0,0,"110,465","928,282","35,828",0,0,"20,650","20,650",0,0,"20,670",0,"1,136,545","26,003",2.30%
BERGEN,RAMAPO-INDIAN HILL REG,4300,"1,251,130",0,0,0,"207,672","962,389","40,228",0,0,"23,430","23,430",0,0,"23,230",0,"1,280,379","29,249",2.30%
BERGEN,RAMSEY BORO,4310,"1,294,016",0,0,0,"81,666","1,117,379","47,931",0,0,"26,720","26,720",0,0,"25,575",0,"1,325,991","31,975",2.50%
BERGEN,RIDGEFIELD BORO,4370,"2,565,748","1,497,655",0,0,"20,828","974,383","50,732","11,745",0,"14,910","14,910",0,0,"14,410",0,"2,599,573","33,825",1.30%
BERGEN,RIDGEFIELD PARK TWP,4380,"4,901,841","3,427,956",0,0,"53,329","1,188,469","116,399","114,282",0,"20,580","20,580",0,0,"20,820",6,"4,962,421","60,580",1.20%
BERGEN,RIDGEWOOD VILLAGE,4390,"2,129,206",0,0,0,"136,964","1,792,061","98,280",0,0,"56,660","56,660",0,0,"55,375",0,"2,196,000","66,794",3.10%
BERGEN,RIVER DELL REGIONAL,4405,"666,153",0,0,0,"38,594","568,022","29,095",0,0,"16,980","16,980",0,2,"16,030",0,"685,703","19,550",2.90%
BERGEN,RIVER EDGE BORO,4410,"470,634",0,0,0,"3,005","406,566","19,965","23,482",0,"11,260","11,260",0,0,"11,400",0,"486,938","16,304",3.50%
BERGEN,RIVER VALE TWP,4430,"465,215",0,0,0,"27,212","394,058","21,680",0,0,"12,380","12,380",0,0,"11,620",0,"479,330","14,115",3.00%
BERGEN,ROCHELLE PARK TWP,4470,"452,567",0,0,0,"31,373","362,837","47,531",0,0,"6,430","6,430",0,0,"6,480","1,434","462,515","9,948",2.20%
BERGEN,ROCKLEIGH,4500,"14,971",0,0,0,"14,309",0,0,0,0,370,370,0,0,390,0,"15,439",468,3.10%
BERGEN,RUTHERFORD BORO,4600,"2,448,920","815,410",0,0,"40,538","1,505,767","43,921",0,0,"25,055","25,055",0,0,"25,500",0,"2,481,246","32,326",1.30%
BERGEN,SADDLE BROOK TWP,4610,"1,107,217","17,740",0,0,"59,001","957,677","43,806",0,0,"17,030","17,030",0,0,"17,430","2,419","1,132,133","24,916",2.30%
BERGEN,SADDLE RIVER BORO,4620,"210,006",0,0,0,"72,423","101,297","29,320",0,0,"3,990","3,990",0,1,"3,860",0,"214,881","4,875",2.30%
BERGEN,SOUTH HACKENSACK TWP,4870,"243,554",0,0,0,"14,912","200,681","22,406",0,0,"3,320","3,320",0,0,"3,320",123,"248,082","4,528",1.90%
BERGEN,TEANECK TWP,5150,"5,266,235",0,0,0,"1,909,231","2,596,036","730,240",0,0,"40,420","40,420",0,0,"39,700",0,"5,356,047","89,812",1.70%
BERGEN,TENAFLY BORO,5160,"1,400,568",0,0,0,"80,474","1,192,029","63,352",0,0,"36,070","36,070",0,0,"35,850",0,"1,443,845","43,277",3.10%
BERGEN,UPPER SADDLE RIVER BORO,5330,"532,142",0,0,0,"39,526","447,379","22,454",0,0,"12,770","12,770",0,0,"11,780",0,"546,679","14,537",2.70%
BERGEN,WALDWICK BORO,5410,"852,641","5,801",0,0,"42,447","748,580","27,492",0,0,"16,220","16,220",0,1,"15,710",0,"872,471","19,830",2.30%
BERGEN,WALLINGTON BORO,5430,"3,069,415","2,174,798",0,0,"24,797","743,809","49,973","75,442",0,"12,810","12,810",0,0,"13,860",0,"3,108,299","38,884",1.30%
BERGEN,WESTWOOD REGIONAL,5755,"1,706,684",0,0,0,"110,956","1,492,160","55,037",0,0,"27,080","27,080",0,"2,322","27,590",0,"1,742,225","35,541",2.10%
BERGEN,WOOD-RIDGE BORO,5830,"778,120","40,733",0,0,"36,887","662,355","22,479",0,0,"10,940","10,940",0,0,"10,980",0,"795,314","17,194",2.20%
BERGEN,WOODCLIFF LAKE BORO,5880,"356,147",0,0,0,"18,444","311,334","13,256",0,0,"7,440","7,440",0,0,"7,570",0,"365,484","9,337",2.60%
BERGEN,WYCKOFF TWP,5920,"880,174",0,0,0,"59,410","745,645","37,516",0,0,"21,080","21,080",0,0,"20,410",0,"905,141","24,967",2.80%
BURLINGTON,BASS RIVER TWP,200,"885,669","638,484",0,0,"25,972","67,203","22,124",0,0,"1,150","1,150","129,586",0,"1,030",0,"886,699","1,030",0.10%
BURLINGTON,BEVERLY CITY,380,"3,718,301","2,420,975",0,0,"193,173","170,576","87,320",0,0,"3,550","3,550","840,178",0,"2,980",0,"3,722,302","4,001",0.10%
BURLINGTON,BORDENTOWN REGIONAL,475,"7,943,829","6,170,909",0,0,"204,608","1,470,071","71,779","33,986",0,"25,530","25,530",0,0,"25,720",0,"8,028,133","84,304",1.10%
BURLINGTON,BURLINGTON CITY,600,"16,797,657","13,867,857",0,0,"205,655","858,702","443,577",0,0,"13,870","13,870","1,394,126",0,"13,410",0,"16,811,067","13,410",0.10%
BURLINGTON,BURLINGTON CO VOCATIONAL,610,"14,506,026","13,228,997",0,0,0,"1,182,187","125,257",0,0,"20,760","20,760",0,0,"20,700",0,"14,598,661","92,635",0.60%
BURLINGTON,BURLINGTON TWP,620,"18,500,891","14,996,159",0,0,"779,010","2,315,921","428,856","34,377",0,"40,040","40,040",0,0,"38,580",0,"18,672,983","172,092",0.90%
BURLINGTON,CHESTERFIELD TWP,830,"403,538",0,0,0,"71,680","136,277","43,728","60,016","85,512","7,380","7,380",0,0,"8,010",0,"419,983","16,445",4.10%
BURLINGTON,CINNAMINSON TWP,840,"8,995,720","7,371,587",0,0,"185,546","1,367,802","57,475",0,0,"23,210","23,210",0,0,"23,955",163,"9,052,948","57,228",0.60%
BURLINGTON,DELANCO TWP,1030,"2,485,655","2,105,710",0,0,"27,622","317,297","25,925",0,0,"5,300","5,300",0,0,"5,090",0,"2,492,244","6,589",0.30%
BURLINGTON,DELRAN TWP,1060,"11,535,570","9,584,107",0,0,"136,244","1,736,961","88,152","14,105",0,"29,660","29,660",0,0,"30,550",0,"11,649,439","113,869",1.00%
BURLINGTON,EASTAMPTON TWP,1250,"4,641,777","4,148,569",0,0,"16,953","389,996","17,257",0,0,"6,010","6,010","56,982",0,"5,900",0,"4,647,677","5,900",0.10%
BURLINGTON,EDGEWATER PARK TWP,1280,"6,619,235","5,650,874",0,0,"146,445","592,870","250,922","4,746",0,"10,300","10,300",0,0,"10,060",0,"6,676,517","57,282",0.90%
BURLINGTON,EVESHAM TWP,1420,"13,477,181","9,135,441",0,0,"1,295,334","2,610,392","347,614",0,0,"44,200","44,200",0,0,"42,245",0,"13,519,426","42,245",0.30%
BURLINGTON,FLORENCE TWP,1520,"9,577,365","8,371,715",0,0,"104,945","1,015,559","110,028","7,868",0,"17,910","17,910",0,0,"17,700",0,"9,663,635","86,270",0.90%
BURLINGTON,HAINESPORT TWP,1910,"1,391,141","689,609",0,0,"149,208","381,603","57,433","4,376",0,"6,455","6,455","96,002",0,"5,895",0,"1,397,036","5,895",0.40%
BURLINGTON,LENAPE REGIONAL,2610,"28,618,926","22,738,228",0,0,"785,083","4,238,655","448,023",0,0,"70,220","70,220",0,"268,497","67,620",0,"28,686,546","67,620",0.20%
BURLINGTON,LUMBERTON TWP,2850,"8,195,007","6,879,838",0,0,"208,437","903,723","141,349",0,0,"14,840","14,840","31,980",0,"13,490",0,"8,208,497","13,490",0.20%
BURLINGTON,MANSFIELD TWP,2960,"606,769","59,647",0,0,"104,486","381,179","50,397",0,0,"6,830","6,830",0,2,"6,100",0,"615,471","8,702",1.40%
BURLINGTON,MAPLE SHADE TWP,3010,"8,565,484","7,123,933",0,0,"85,205","1,222,775","124,422","27,454",0,"22,080","22,080",0,0,"22,330",0,"8,650,279","84,795",1.00%
BURLINGTON,MEDFORD LAKES BORO,3070,"1,131,125","792,714",0,0,"8,189","317,108","9,036","2,090",0,"5,170","5,170",0,0,"5,340",0,"1,144,817","13,692",1.20%
BURLINGTON,MEDFORD TWP,3080,"4,742,718","2,700,883",0,0,"230,547","1,680,355","78,003",0,0,"26,465","26,465",0,0,"26,390",0,"4,769,108","26,390",0.60%
BURLINGTON,MOORESTOWN TWP,3360,"3,112,139",0,0,0,"398,682","2,368,049","314,058",0,0,"37,815","37,815",0,0,"37,065",0,"3,193,484","81,345",2.60%
BURLINGTON,MOUNT HOLLY TWP,3430,"10,005,259","8,036,029",0,0,"127,355","546,275","267,312",0,0,"9,550","9,550","1,025,803",0,"9,420",0,"10,031,294","26,035",0.30%
BURLINGTON,MOUNT LAUREL TWP,3440,"4,342,882",0,0,0,"1,648,462","2,326,573","337,731",0,0,"38,785","38,785",0,"3,387","39,740",0,"4,433,463","90,581",2.10%
BURLINGTON,NEW HANOVER TWP,3540,"2,401,887","1,917,619",0,0,"161,552","139,209","49,643",0,0,"2,360","2,360","135,141",0,"2,320",0,"2,410,204","8,317",0.30%
BURLINGTON,NORTH HANOVER TWP,3650,"11,440,688","9,729,390",0,0,"427,515","599,422","192,147","145,182",0,"11,980","11,980","403,273",0,"10,670",0,"11,531,559","90,871",0.80%
BURLINGTON,NORTHERN BURLINGTON REG,3690,"12,314,191","10,112,152",0,"415,100","576,863","1,088,835","154,488",0,0,"21,780","21,780",0,"8,302","21,210",0,"12,420,510","106,319",0.90%
BURLINGTON,PALMYRA BORO,3920,"4,712,213","3,880,223",0,0,"97,770","477,653","158,534","11,616",0,"8,930","8,930","102,575",0,"8,780",0,"4,755,011","42,798",0.90%
BURLINGTON,PEMBERTON TWP,4050,"83,481,225","44,597,100",0,"72,160","2,475,800","2,658,413","1,276,133",0,0,"47,520","47,520","32,240,480","149,749","44,720",0,"83,609,595","128,370",0.20%
BURLINGTON,RANCOCAS VALLEY REGIONAL,4320,"16,008,477","13,327,527",0,0,"963,680","1,228,647","219,078",0,0,"20,060","20,060","268,619",0,"20,880",0,"16,068,551","60,074",0.40%
BURLINGTON,RIVERSIDE TWP,4450,"10,849,800","10,044,390",0,0,"50,406","702,734","85,315","19,179",0,"12,640","12,640",0,0,"12,630",0,"10,939,934","90,134",0.80%
BURLINGTON,RIVERTON,4460,"542,223","284,559",0,0,"27,967","193,849","30,875",0,0,"3,560","3,560",0,0,"3,600",0,"547,970","5,747",1.10%
BURLINGTON,SHAMONG TWP,4740,"4,244,351","3,430,365",0,0,"224,964","507,214","65,308",0,0,"8,250","8,250",0,0,"7,420",0,"4,251,771","7,420",0.20%
BURLINGTON,SOUTHAMPTON TWP,4930,"2,128,246","425,897",0,0,"366,769","455,453","71,701",0,0,"7,280","7,280","793,866",0,"6,950",0,"2,135,196","6,950",0.30%
BURLINGTON,SPRINGFIELD TWP,5010,"1,213,549","763,643",0,0,"139,769","159,516","22,191",0,0,"2,420","2,420","100,078","23,512","2,000",0,"1,215,549","2,000",0.20%
BURLINGTON,TABERNACLE TWP,5130,"5,466,194","3,405,745",0,0,"337,115","465,120","66,283",0,0,"7,330","7,330","1,177,271",0,"7,150",0,"5,473,344","7,150",0.10%
BURLINGTON,WASHINGTON TWP,5490,"672,074","145,473",0,"35,934","83,884","52,560","9,777",0,0,960,960,"283,400","59,890",960,0,"673,798","1,724",0.30%
BURLINGTON,WESTAMPTON,5720,"3,699,887","2,864,330",0,0,"169,828","557,873","93,300","22,243",0,"9,840","9,840",0,0,"9,540",0,"3,736,794","36,907",1.00%
BURLINGTON,WILLINGBORO TWP,5805,"38,413,730","34,387,336",0,0,"470,570","2,391,334","1,086,670",0,0,"38,910","38,910",0,0,"36,830",0,"38,450,560","36,830",0.10%
BURLINGTON,WOODLAND TWP,5890,"907,323","706,424",0,0,"58,119","88,141","14,839",0,0,"1,430","1,430","40,035",0,"1,520",0,"911,938","4,615",0.50%
CAMDEN,AUDUBON BORO,150,"8,246,759","5,859,113",0,"922,056","62,870","713,615","131,828","25,300",0,"13,430","13,430","530,136","17,904","13,960",0,"8,303,642","56,883",0.70%
CAMDEN,BARRINGTON BORO,190,"3,253,998","2,677,160",0,0,"23,765","524,444","23,536",0,0,"8,540","8,540",0,0,"8,360",0,"3,274,345","20,347",0.60%
CAMDEN,BELLMAWR BORO,260,"5,130,610","4,191,122",0,"160,144","13,000","613,550","66,438","104,103",0,"10,720","10,720",0,0,"11,010",0,"5,180,807","50,197",1.00%
CAMDEN,BERLIN BORO,330,"3,664,608","3,013,468",0,0,"54,903","495,390","35,051","77,184",0,"8,790","8,790",0,0,"8,400",0,"3,701,976","37,368",1.00%
CAMDEN,BERLIN TWP,340,"5,591,872","4,496,186",0,"367,664","53,122","446,997","133,463",0,0,"7,590","7,590",0,"136,391","8,180","1,429","5,658,612","66,740",1.20%
CAMDEN,BLACK HORSE PIKE REGIONAL,390,"33,380,107","30,606,941",0,0,"226,607","2,425,197","163,463",0,0,"38,720","38,720",0,0,"36,820",0,"33,536,468","156,361",0.50%
