COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,FOUR_YR_GRAD_RATE,FOUR_YR_ADJ_COHORT_COUNT,GRADUATED_COUNT
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,White,87.39,119,104
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Black,66.67,177,118
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Hispanic,71.95,164,118
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Asian,87.65,81,71
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,American Indian,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Native Hawaiian,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Two or More Races,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Limited English Proficiency,75,32,24
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Economically Disadvantaged,73.62,398,293
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Students with Disability,72.5,80,58
1,ATLANTIC,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,Schoolwide,76.14,549,418
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,White,87.39,119,104
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Black,66.67,177,118
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Hispanic,71.95,164,118
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Asian,87.65,81,71
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,American Indian,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Native Hawaiian,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Two or More Races,-,-,-
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Limited English Proficiency,75,32,24
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Economically Disadvantaged,73.62,398,293
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Students with Disability,72.5,80,58
1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Districtwide,76.14,549,418
